number,name,geo
0,Novotel,POINT (-0.4558534 51.4975442)
1,Sundridge Park hotel and conference Ctr,POINT (0.0372264 51.4170299)
2,DoubleTree by Hilton Hotel London - Marble Arch,POINT (-0.1566381 51.514571)
3,easyHotel Victoria,POINT (-0.1420048 51.4919882)
4,Premier Inn,POINT (-0.1805806 51.4140867)
5,Crestfield Hotel,POINT (-0.1224147 51.5297557)
6,Kings Cross Inn Hotel,POINT (-0.1229357 51.5302618)
7,Hotel Riu Plaza London Victoria,POINT (-0.1417547 51.4944034)
8,Holiday Inn,POINT (-0.1966293 51.3617505)
9,Best Western,POINT (-0.2507834 51.4926963)
10,The Hour Glass,POINT (-0.0843308 51.486375)
11,DoubleTree by Hilton London Angel Kings Cross,POINT (-0.1094659 51.5321106)
12,Sidney Hotel,POINT (-0.138557 51.490333)
13,George IV Regency Hotel,POINT (-0.0115052 51.5117638)
14,Huttons Hotel,POINT (-0.138381 51.4906272)
15,Victor Hotel,POINT (-0.1385005 51.490678)
16,Luna Simone Hotel,POINT (-0.1386425 51.4907457)
17,Lidos Hotel,POINT (-0.1387856 51.490806)
18,Best Western Plus Epping Forest,POINT (0.0108502 51.6032893)
19,Cedar Guest House,POINT (-0.145766 51.4922185)
20,Alexandar House Hotel,POINT (-0.1458119 51.4921849)
21,Best Western Hotel,POINT (-0.1460686 51.4920413)
22,Annexe Hotel,POINT (-0.1458604 51.4921418)
23,Dover Hotel,POINT (-0.1418151 51.491896)
24,Comfort Inn London,POINT (-0.1389518 51.4908881)
25,Foxtons,POINT (-0.1559591 51.5100045)
26,The Churchill,POINT (-0.1570192 51.515473)
27,The Tavistock Hotel,POINT (-0.1283055 51.5243225)
28,Bedford Hotel,POINT (-0.1235907 51.5207075)
29,Bloomsbury Park Hotel,POINT (-0.1228137 51.520684)
30,County Hotel,POINT (-0.129567 51.526395)
31,Mabeldon Court Hotel,POINT (-0.1273678 51.5276532)
32,Holiday Inn,POINT (-0.146078 51.5403595)
33,Travelodge,POINT (-0.0868331 51.5225673)
34,DoubleTree by Hilton Hotel London - West End,POINT (-0.12213 51.5201101)
35,Thatched House Hotel,POINT (-0.2074197 51.359454)
36,The Clermont,POINT (-0.124767 51.5083078)
37,Park Plaza Hotels,POINT (-0.1160331 51.5013601)
38,White Lodge Hotel,POINT (-0.1155848 51.5851527)
39,Bosco Hotel & Lounge,POINT (-0.3034458 51.3936981)
40,Queens Hotel,POINT (-0.1021872 51.5659053)
41,Pembury Hotel,POINT (-0.1019716 51.5660169)
42,Brownswood Guest House,POINT (-0.0982132 51.5636052)
43,Mountrose Hotel,POINT (-0.2095994 51.5516582)
44,The Drayton Court Hotel,POINT (-0.3192305 51.5142404)
45,St Giles Hotel,POINT (-0.1304949 51.5174483)
46,Saint Georges Hotel,POINT (-0.1424175 51.5178202)
47,Megaro Hotel,POINT (-0.1239797 51.5297301)
48,Bickley Manor Hotel and Restaurant,POINT (0.0591447 51.3968319)
49,Howard Winchester,POINT (-0.1219027 51.5293476)
50,European Hotel,POINT (-0.1218055 51.5292504)
51,Hotel Montana,POINT (-0.1215913 51.5290388)
52,Elmwood Hotel,POINT (-0.1214553 51.5289068)
53,Travelodge,POINT (-0.1203379 51.5300868)
54,Carlton Hotel,POINT (-0.1222049 51.530409)
55,Rough Luxe,POINT (-0.1221277 51.5303289)
56,Carlisle Hotel,POINT (-0.1218616 51.5300565)
57,Clifton Hotel,POINT (-0.1216299 51.529907)
58,Royal National Hotel,POINT (-0.1272337 51.5234731)
