name,longitude,latitude,LSOA11CD,LSOA11NM
Novotel,-0.4558534,51.4975442,E01002446,Hillingdon 031B
Sundridge Park hotel and conference Ctr,0.0372264,51.4170299,E01000818,Bromley 040B
DoubleTree by Hilton Hotel London - Marble Arch,-0.1566381,51.514571,E01004657,Westminster 012A
easyHotel Victoria,-0.1420048,51.4919882,E01004749,Westminster 022B
Premier Inn,-0.1805806,51.4140867,E01003367,Merton 005A
Crestfield Hotel,-0.1224147,51.5297557,E01000939,Camden 024C
Kings Cross Inn Hotel,-0.1229357,51.5302618,E01000939,Camden 024C
Hotel Riu Plaza London Victoria,-0.1417547,51.4944034,E01004749,Westminster 022B
Holiday Inn,-0.1966293,51.3617505,E01004156,Sutton 018C
Best Western,-0.2507834,51.4926963,E01002570,Hounslow 001B
The Hour Glass,-0.0843308,51.486375,E01003968,Southwark 015C
DoubleTree by Hilton London Angel Kings Cross,-0.1094659,51.5321106,E01002695,Islington 021A
Sidney Hotel,-0.138557,51.490333,E01004749,Westminster 022B
George IV Regency Hotel,-0.0115052,51.5117638,E01004247,Tower Hamlets 020C
Huttons Hotel,-0.138381,51.4906272,E01004749,Westminster 022B
Victor Hotel,-0.1385005,51.490678,E01004749,Westminster 022B
Luna Simone Hotel,-0.1386425,51.4907457,E01004749,Westminster 022B
Lidos Hotel,-0.1387856,51.490806,E01004749,Westminster 022B
Best Western Plus Epping Forest,0.0108502,51.6032893,E01004377,Waltham Forest 010C
Cedar Guest House,-0.145766,51.4922185,E01004750,Westminster 023E
Alexandar House Hotel,-0.1458119,51.4921849,E01004750,Westminster 023E
Best Western Hotel,-0.1460686,51.4920413,E01004750,Westminster 023E
Annexe Hotel,-0.1458604,51.4921418,E01004750,Westminster 023E
Dover Hotel,-0.1418151,51.491896,E01004749,Westminster 022B
Comfort Inn London,-0.1389518,51.4908881,E01004749,Westminster 022B
Foxtons,-0.1559591,51.5100045,E01004762,Westminster 011E
The Churchill,-0.1570192,51.515473,E01004657,Westminster 012A
The Tavistock Hotel,-0.1283055,51.5243225,E01000852,Camden 026C
Bedford Hotel,-0.1235907,51.5207075,E01000855,Camden 028A
Bloomsbury Park Hotel,-0.1228137,51.520684,E01000914,Camden 028B
County Hotel,-0.129567,51.526395,E01000943,Camden 025E
Mabeldon Court Hotel,-0.1273678,51.5276532,E01000942,Camden 025D
Holiday Inn,-0.146078,51.5403595,E01000862,Camden 018E
Travelodge,-0.0868331,51.5225673,E01002704,Islington 023D
DoubleTree by Hilton Hotel London - West End,-0.12213,51.5201101,E01000914,Camden 028B
Thatched House Hotel,-0.2074197,51.359454,E01004158,Sutton 018D
The Clermont,-0.124767,51.5083078,E01004736,Westminster 018C
Park Plaza Hotels,-0.1160331,51.5013601,E01003013,Lambeth 036A
White Lodge Hotel,-0.1155848,51.5851527,E01002014,Haringey 020B
Bosco Hotel & Lounge,-0.3034458,51.3936981,E01002987,Kingston upon Thames 011B
Queens Hotel,-0.1021872,51.5659053,E01001716,Hackney 007B
Pembury Hotel,-0.1019716,51.5660169,E01001716,Hackney 007B
Brownswood Guest House,-0.0982132,51.5636052,E01001720,Hackney 007F
Mountrose Hotel,-0.2095994,51.5516582,E01000558,Brent 015F
The Drayton Court Hotel,-0.3192305,51.5142404,E01001222,Ealing 019A
St Giles Hotel,-0.1304949,51.5174483,E01000855,Camden 028A
Saint Georges Hotel,-0.1424175,51.5178202,E01004765,Westminster 013D
Megaro Hotel,-0.1239797,51.5297301,E01000939,Camden 024C
Bickley Manor Hotel and Restaurant,0.0591447,51.3968319,E01000650,Bromley 022A
Howard Winchester,-0.1219027,51.5293476,E01000939,Camden 024C
European Hotel,-0.1218055,51.5292504,E01000939,Camden 024C
Hotel Montana,-0.1215913,51.5290388,E01000939,Camden 024C
Elmwood Hotel,-0.1214553,51.5289068,E01000939,Camden 024C
Travelodge,-0.1203379,51.5300868,E01000938,Camden 024B
Carlton Hotel,-0.1222049,51.530409,E01000939,Camden 024C
Rough Luxe,-0.1221277,51.5303289,E01000939,Camden 024C
Carlisle Hotel,-0.1218616,51.5300565,E01000939,Camden 024C
Clifton Hotel,-0.1216299,51.529907,E01000938,Camden 024B
Royal National Hotel,-0.1272337,51.5234731,E01000852,Camden 026C
Lonsdale Hotel,-0.1240489,51.5202064,E01000855,Camden 028A
The Lancaster,-0.1237817,51.5199748,E01000855,Camden 028A
,-0.1553928,51.5095221,E01004762,Westminster 011E
Grosvenor House Hotel Ballroom,-0.1548412,51.5092746,E01004762,Westminster 011E
Kadimah,-0.0706834,51.57297,E01001814,Hackney 001C
Cloudesley House,-0.0963959,51.5700523,E01001714,Hackney 002A
Redland Hotel,-0.0964787,51.569996,E01001714,Hackney 002A
Kent Hall,-0.0966468,51.5698537,E01001714,Hackney 002A
Lanark Hotel,-0.1004792,51.5669539,E01001716,Hackney 007B
London Marriott Hotel County Hall,-0.1188586,51.501709,E01003013,Lambeth 036A
The Pack & Carriage London,-0.1355999,51.5319633,E01000954,Camden 022C
Station Hotel,-0.1413006,51.4950123,E01004748,Westminster 020E
Hilton London Green Park,-0.1456241,51.5064449,E01004761,Westminster 018D
